id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10
Abu-Akel_2020-1	1	0	0	0	1	0	0	0	0	0
Alkire_2018-1	3	1	0	1	0	1	3	1	0	1
Anders_2015-1	0	0	0	0	1	0	0	0	0	0
Berns_2005-1	0	0	0	1	1	0	0	0	0	0
Brune_2013-1	0	0	0	0	0	0	0	0	0	0
Chaminade_2012-1	2	0	0	0	1	0	0	0	0	0
Chaminade_2015-1	1	0	0	0	1	0	0	0	1	0
Delgado_2008-1	0	0	0	0	0	0	0	0	0	0
Edmiston_2015-1	0	0	0	0	0	0	0	0	0	0
Elliott_2006-1	0	2	1	0	0	0	0	0	1	0
Fareri_2012-1	1	0	1	1	1	1	2	0	0	0
Fareri_2014-1	0	1	1	0	0	0	0	0	0	0
Fareri_2015-1	0	0	0	0	0	0	0	0	0	0
Fukui_2006-1	0	0	0	0	1	0	0	0	0	0
Gallagher_2002-1	0	1	0	0	0	0	0	0	0	0
Hu_2018-1	1	0	1	0	0	0	0	0	0	0
Kircher_2009-1	0	0	0	0	0	1	0	0	0	0
Krach_2008-1	3	0	0	1	2	0	0	0	1	0
Krach_2009_Study1-1	0	1	0	0	0	0	1	0	0	0
Krach_2009_Study2-1	2	2	1	0	0	0	0	0	0	0
Ozdem_2017-1	0	0	0	0	0	0	0	0	0	0
Pfeiffer_2014-1	0	0	0	0	0	0	3	1	0	0
Polosan_2011-1	0	1	0	0	0	0	0	0	0	0
Riedl_2014-1	0	0	0	0	1	0	0	0	0	1
Rilling_2004-1	2	1	2	0	0	1	0	0	0	0
Rilling_2008-1	1	0	0	1	0	1	0	0	0	0
Rilling_2012-1	0	1	1	0	0	1	0	1	0	0
Schindler_2019-1	0	2	2	2	0	1	1	0	0	0
Schuwerk_2017-1	0	0	0	0	0	0	0	0	1	0
Sun_2016-1	0	0	1	0	0	0	0	0	0	0
Takahashi_2014-1	1	1	1	0	0	0	0	0	0	1
Takahashi_2015-1	1	0	1	1	0	1	0	0	0	0
Warnell_2018-1	2	2	0	2	0	2	2	1	0	0
vandenBos_2007-1	0	0	0	0	0	0	0	0	0	0
