id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
Assaf_2013-1	1	0	0	1	0	0	0	0
Bach_2019-1	1	1	0	1	0	0	0	0
Brandi_2021-1	1	1	0	1	0	1	0	0
Caruana_2015-1	3	1	1	0	0	0	0	1
Cavallo_2015-1	2	3	0	0	2	4	0	0
Dziura_2021-1	0	1	0	1	0	1	0	0
FeldmanHall_2012-1	1	3	1	1	0	0	1	1
Guionnet_2012-1	0	0	0	0	3	0	0	0
Hallam_2014-1	0	2	3	0	0	0	0	0
Jasmin_2019-1	0	0	1	0	0	0	0	0
Jensen_2014-1	1	2	0	0	0	0	0	0
Koike_2019a-1	0	0	0	0	0	0	0	0
Koike_2019b-1	0	2	4	0	1	0	1	0
Kokal_2009-1	5	0	0	1	0	0	0	0
Kuhlen_2017-1	0	0	0	0	0	0	0	0
Langavant_2011-1	2	0	0	0	0	0	0	0
Miyata_2021-1	3	2	2	1	0	0	0	0
Molenberghs_2014-1	0	1	0	0	0	0	0	0
Nagy_2010-1	0	0	0	0	0	0	0	0
Noordzij_2009_Study1-1	1	0	0	0	0	1	0	0
Noordzij_2009_Study2-1	1	0	0	0	0	0	0	0
Redcay_2010_Study2-1	2	1	0	2	0	0	0	1
Redcay_2012-1	4	0	0	1	1	2	0	0
Redcay_2013-1	2	0	1	0	1	0	0	0
Saito_2010-1	1	0	1	0	0	0	1	0
Schilbach_2009-1	0	0	0	0	0	0	0	0
Schippers_2009-1	1	0	0	0	0	0	0	2
Shpurov_2020-1	1	1	0	0	0	0	0	0
Spitzer_2007-1	0	0	0	0	0	0	0	0
Tamir_2015-1	0	0	0	0	0	0	0	0
Tomlin_2013-1	0	2	2	0	0	0	2	0
Tsoi_2016-1	1	3	2	2	0	0	2	0
Wang_2019-1	0	0	0	0	0	0	0	0
Yoo_2020-1	0	1	1	0	1	0	0	0
Yoshie_2016-1	0	0	0	0	0	0	0	0
Zimmermann_2019-1	1	0	0	1	2	0	0	0
deQuervain_2004-1	0	0	0	0	0	0	0	0
